Method,Time (s),N_Features/Components,Reconstruction Error,Stability
SHAP_k10,42.81117510795593,10,,
SHAP_k20,42.81117510795593,20,,
SHAP_k30,42.81117510795593,30,,
SHAP_k40,42.81117510795593,40,,
SHAP_k50,42.81117510795593,50,,
PCA_var90,1.4016613960266113,23,0.08460866659879684,
PCA_var95,1.232553243637085,28,0.0441318154335022,
mRMR_k10,32031.14515852928,10,,
mRMR_k20,32031.14515852928,20,,
mRMR_k30,32031.14515852928,30,,
mRMR_k40,32031.14515852928,40,,
mRMR_k50,32031.14515852928,50,,
AE_dim8,209.78597927093506,8,0.310730516910553,
AE_dim16,126.56827926635742,16,0.23487190902233124,
PERM_k10,370.55114364624023,10,,0.9328768200097278
PERM_k20,370.55114364624023,20,,0.9328768200097278
PERM_k30,370.55114364624023,30,,0.9328768200097278
PERM_k40,370.55114364624023,40,,0.9328768200097278
PERM_k50,370.55114364624023,50,,0.9328768200097278
InformationGain,0.0,0,,
