Model,Accuracy,Balanced_Acc,F1_Macro,G_Mean,FAR,Precision,Recall,F1,ROC-AUC,Train Time (s),Inference (ms)
GRU,0.9425487030196601,0.9609660291691307,0.7035609527783925,0.960772268542753,0.03903397083086934,0.9831537343581834,0.9425487030196601,0.9576010184947231,0.9820475025634862,309.5406165122986,0.0035407793281857797
VotingEnsemble,0.9384926960741621,0.9608083360670463,0.6945887787467537,0.9605238094757036,0.03919166393295372,0.9829463184463563,0.9384926960741621,0.9550832883318034,N/A,821.204835653305,0.012878909982375534
BiLSTM_Attention,0.9380193901723409,0.9583444650779305,0.6929633456982076,0.9581078333840292,0.041655534922069484,0.9827880921500611,0.9380193901723409,0.9547662822992509,0.9803493511152821,313.5405728816986,0.0060672436782826045
TCN,0.9357777881993529,0.9567160252511598,0.6879193896953328,0.9564644714428113,0.04328397474884013,0.9826020775150768,0.9357777881993529,0.953368885327011,0.9785205898694448,198.12364625930786,0.002949206509725557
Transformer,0.933148398543274,0.9493644854300503,0.6808546152453325,0.9492124409899538,0.05063551456994976,0.9820895137055405,0.933148398543274,0.9516830441738415,0.9746343578603859,329.63146328926086,0.0017335721530566531
FT_Transformer,0.9323010982194476,0.9580289504474384,0.6813929515583775,0.9576496432917725,0.04197104955256166,0.9825438177620593,0.9323010982194476,0.9512487551095521,0.9792310142375649,2464.2643654346466,0.01790763884975231
CNN_LSTM,0.9313402990615459,0.958981879142232,0.6797996064393159,0.958544466825993,0.041018120857768056,0.9825640816930498,0.9313402990615459,0.9506701307995277,0.9795366396888618,794.8782403469086,0.0049102767475117555
ResNet1D,0.9286253911867367,0.9566551024912207,0.6742043996171768,0.9562042226340696,0.043344897508779394,0.9823469155319011,0.9286253911867367,0.9489911382627069,0.9784743133226387,187.79340362548828,0.002110979687979743
AE_Classifier,0.9275763151578875,0.955062394300557,0.6719302572573866,0.9546281149172545,0.0449376056994431,0.982226451868821,0.9275763151578875,0.9483374439772907,0.9766162639757107,293.52393341064453,0.00017920694189620402
TabNet,0.9244590381525543,0.9526142181354982,0.665911661521528,0.9521573610863506,0.04738578186450183,0.9820043235059471,0.9244590381525543,0.9464210604906257,0.9724990227952491,334.5029516220093,0.0003857626630445339
