Method,Time (s),N_Features/Components,Reconstruction Error,Stability
SHAP_k10,33.64021348953247,10,,
SHAP_k20,33.64021348953247,20,,
SHAP_k30,33.64021348953247,30,,
SHAP_k40,33.64021348953247,40,,
SHAP_k50,33.64021348953247,50,,
PCA_var90,1.069777488708496,24,0.08619678020477295,
PCA_var95,0.999826192855835,29,0.042401183396577835,
mRMR_k10,439.25198101997375,10,,
mRMR_k20,439.25198101997375,20,,
mRMR_k30,439.25198101997375,30,,
mRMR_k40,439.25198101997375,40,,
mRMR_k50,439.25198101997375,50,,
AE_dim8,165.74766206741333,8,0.332223117351532,
AE_dim16,104.21288919448853,16,0.2650071978569031,
PERM_k10,750.1869180202484,10,,0.9600019150766965
PERM_k20,750.1869180202484,20,,0.9600019150766965
PERM_k30,750.1869180202484,30,,0.9600019150766965
PERM_k40,750.1869180202484,40,,0.9600019150766965
PERM_k50,750.1869180202484,50,,0.9600019150766965
InformationGain,0.0,0,,
