Model,Accuracy,Balanced_Acc,F1_Macro,G_Mean,FAR,Precision,Recall,F1,ROC-AUC,Train Time (s),Inference (ms)
VotingEnsemble,0.9020866250433495,0.5782935822308803,0.47597958828573494,0.04870781058348157,0.013201893790150673,0.946696191894474,0.9020866250433495,0.9189623652265005,N/A,270818.05253100395,0.022980831529777642
ResNet1D,0.9011994097799478,0.5804675801296012,0.47140256483886256,0.05582270294782378,0.013285725854138383,0.9458831090189999,0.9011994097799478,0.9182082899705323,0.9916915789329349,3106.332102060318,0.0054425669863666665
FT_Transformer,0.9005992925057213,0.5835407560616217,0.4752500358441919,0.057310873465059205,0.01338384281094543,0.9466721059435486,0.9005992925057213,0.9182858619021838,0.9916564350361903,248650.45325493813,0.07818933653961235
Transformer,0.900059265508299,0.5532463716032765,0.45410468428177597,0.013564390196110603,0.013678084373989478,0.9451923012082288,0.900059265508299,0.9172249721356821,0.9909375781369162,19061.26717400551,0.0026909263295859056
GRU,0.8970551444150016,0.5621599220376112,0.4399760590497992,0.03577379034669347,0.014899933850655226,0.9479337726009295,0.8970551444150016,0.9161697869675752,0.9906817937446187,11900.79707479477,0.004035294536559984
TabNet,0.8883868274258307,0.5252958065583035,0.4225466877953443,0.014642061877434038,0.015132997401928978,0.9446031624932227,0.8883868274258307,0.9110999764650018,0.9888978523350961,4814.954303979874,0.001116171263008796
TCN,0.8858512533928423,0.5519873526981154,0.4461264150454885,0.03706587987924161,0.015173293839461324,0.9364382781960703,0.8858512533928423,0.9057197056143446,0.9902984982543326,72500.52129673958,0.009871743699189509
BiLSTM_Attention,0.882024720275834,0.5275713631104759,0.4230808207269623,0.02409559505280442,0.015677612375564417,0.9336322241506683,0.882024720275834,0.9025932929134898,0.9898333298101094,3823.5241601467133,0.015525333829228273
CNN_LSTM,0.8814713398835663,0.5336603374268696,0.4348592570035833,0.0164236041573795,0.015779545754249905,0.9304939283479422,0.8814713398835663,0.9011712236161644,0.9898428319904802,43970.654078722,0.010477893563903244
AE_Classifier,0.8703440345083142,0.4752293534751157,0.3873739254025648,2.2421830035531257e-11,0.01732156541722963,0.9257359254486057,0.8703440345083142,0.8933491164550167,0.9869352649777595,2406.911741256714,0.0003070963635766275
